Core: hps_sdram_p0 - Instance: soc|hps_0|hps_io|border|hps_sdram_inst
Path, Setup Margin, Hold Margin
"Address Command (Slow 1100mV 85C Model)",0.933,0.904
"Bus Turnaround Time (Slow 1100mV 85C Model)",3.68,--
"Core (Slow 1100mV 85C Model)",2.268,0.188
"Core Recovery/Removal (Slow 1100mV 85C Model)",4.505,1.405
"DQS vs CK (Slow 1100mV 85C Model)",0.581,0.467
"Postamble (Slow 1100mV 85C Model)",0.731,0.731
"Read Capture (Slow 1100mV 85C Model)",0.297,0.25
"Write (Slow 1100mV 85C Model)",0.316,0.326
"Address Command (Slow 1100mV 0C Model)",0.922,0.891
"Bus Turnaround Time (Slow 1100mV 0C Model)",3.716,--
"Core (Slow 1100mV 0C Model)",2.241,0.228
"Core Recovery/Removal (Slow 1100mV 0C Model)",4.703,1.271
"DQS vs CK (Slow 1100mV 0C Model)",0.637,0.472
"Postamble (Slow 1100mV 0C Model)",0.712,0.712
"Read Capture (Slow 1100mV 0C Model)",0.314,0.266
"Write (Slow 1100mV 0C Model)",0.346,0.355
"Address Command (Fast 1100mV 85C Model)",1.038,0.967
"Bus Turnaround Time (Fast 1100mV 85C Model)",3.91,--
"Core (Fast 1100mV 85C Model)",2.943,0.084
"Core Recovery/Removal (Fast 1100mV 85C Model)",5.393,0.984
"DQS vs CK (Fast 1100mV 85C Model)",0.755,0.684
"Postamble (Fast 1100mV 85C Model)",0.902,0.902
"Read Capture (Fast 1100mV 85C Model)",0.524,0.477
"Write (Fast 1100mV 85C Model)",0.491,0.491
"Address Command (Fast 1100mV 0C Model)",1.013,0.988
"Bus Turnaround Time (Fast 1100mV 0C Model)",3.923,--
"Core (Fast 1100mV 0C Model)",2.943,0.077
"Core Recovery/Removal (Fast 1100mV 0C Model)",5.491,0.889
"DQS vs CK (Fast 1100mV 0C Model)",0.752,0.712
"Postamble (Fast 1100mV 0C Model)",0.908,0.908
"Read Capture (Fast 1100mV 0C Model)",0.524,0.477
"Write (Fast 1100mV 0C Model)",0.504,0.504
